species,individual,PARi,Photo,Cond,Ci,Trmmol
dry_int,5,6.316832066,-0.397856117,0.041993334,404.6514916,0.691704746
dry_int,5,10.42157269,-0.41600916,0.043442459,404.9406039,0.71502993
dry_int,5,14.748106,0.079369342,0.044084629,386.2020497,0.727939845
dry_int,5,24.379179,0.340908257,0.045552988,376.586373,0.755403554
dry_int,5,50.6602478,1.077474527,0.046219251,349.9554318,0.763722738
dry_int,5,99.45344543,1.931363083,0.047455255,320.5993387,0.787800721
dry_int,5,200.2621155,2.507338494,0.049103025,302.8450163,0.829235773
dry_int,5,250.5407104,2.599345248,0.049751635,299.3486653,0.843171259
dry_int,5,301.0577698,2.578751602,0.048906117,298.2621535,0.83589671
dry_int,5,348.6343689,2.69050183,0.049921596,296.445411,0.858635724
dry_int,5,400.3062134,2.753172522,0.049568703,293.8228698,0.845608875
dry_int,5,449.5696106,2.731534858,0.050358262,296.05012,0.858280186
dry_int,5,498.6481934,2.654490733,0.050332736,298.5240033,0.855611755
dry_int,5,549.4962769,2.737695642,0.050410916,296.2268454,0.861442246
dry_int,5,600.6121216,2.422417637,0.048969882,304.384415,0.847137738
eup_pur,1,0.510466933,-0.580579735,0.086423741,403.6057855,1.052609682
eup_pur,1,6.136577129,-0.073682011,0.088685501,393.3906803,1.072088225
eup_pur,1,10.16143227,0.198217631,0.093510175,388.1267971,1.126045339
eup_pur,1,14.43732166,0.456881214,0.101523544,383.7583824,1.26142219
eup_pur,1,24.32759285,1.05959504,0.118423651,374.0278982,1.474106655
eup_pur,1,49.38954163,2.442978839,0.148974551,359.9491341,1.807270386
eup_pur,1,100.835762,5.045170819,0.181881776,338.1231551,2.1234611
eup_pur,1,149.9880371,6.951856293,0.204388294,325.406448,2.271134906
eup_pur,1,200.6774139,8.586117901,0.221779092,315.6278102,2.384849938
eup_pur,1,251.0087891,9.704604986,0.24257003,311.64076,2.605972633
eup_pur,1,300.1000671,10.43155038,0.255847676,309.3662461,2.704524098
eup_pur,1,349.664917,11.09747319,0.266590856,307.1841596,2.812213573
eup_pur,1,399.4226685,11.44841069,0.272289745,304.8098498,2.845423287
eup_pur,1,499.1962891,12.03712218,0.276637159,301.8170236,2.996606091
eup_pur,1,599.6571045,12.48692192,0.270506139,296.9633463,2.973167183
eup_pur,1,800.8891602,13.06187724,0.2645355,290.7194217,3.043277794
eup_pur,1,1000.40033,13.41591326,0.251629653,283.3549485,3.117660429
eup_pur,1,1199.793213,13.53943122,0.247140012,280.4001301,3.242648925
eup_pur,2,0.239445671,-0.776769447,0.100541751,406.7226967,1.087996323
eup_pur,2,5.922353268,-0.172255558,0.112348015,396.0452299,1.182764011
eup_pur,2,9.817584991,0.292977345,0.123821811,389.3210662,1.270692732
eup_pur,2,14.19386196,0.493273216,0.138860428,387.0749309,1.402197072
eup_pur,2,25.27258682,1.194785228,0.152065836,379.2532201,1.488508837
eup_pur,2,50.71611023,2.792506984,0.168661965,362.5192906,1.636954517
eup_pur,2,99.91156769,4.974534143,0.18211539,341.7687541,1.74569924
eup_pur,2,150.9365692,7.063656569,0.200047706,323.6133759,1.913358856
